Date,Open,High,Low,Close,Adj Close,Volume
2014-03-01,573.940002,695.440002,262.769989,444.660004,444.660004,54489954
2014-03-31,444.660004,549.049988,355.709991,445.630005,445.630005,76194478
2014-04-30,445.630005,629.039978,420.230011,627.909973,627.909973,42600386
2014-05-31,627.909973,676.469971,560.849976,635.140015,635.140015,69667212
2014-06-30,635.140015,652.539978,564.010010,589.520020,589.520020,66608429
2014-07-31,589.520020,608.200012,449.950012,481.779999,481.779999,67397007
2014-08-31,481.779999,498.470001,372.630005,388.170013,388.170013,129082054
2014-09-30,388.170013,407.739990,294.920013,337.869995,337.869995,206125111
2014-11-01,337.869995,480.450012,319.809998,374.929993,374.929993,268771741
2014-12-01,374.929993,384.869995,303.399994,318.239990,318.239990,288651546
2015-01-01,318.239990,321.359985,157.289993,218.509995,218.509995,374164200
2015-02-01,218.509995,264.570007,209.710007,254.059998,254.059998,494334176
2015-03-01,254.059998,300.959991,234.839996,244.149994,244.149994,800618537
2015-03-31,244.149994,261.450012,214.139999,235.770004,235.770004,485256350
2015-04-30,235.770004,247.869995,228.240005,229.839996,229.839996,389060020
2015-05-31,229.839996,268.730011,220.970001,264.119995,264.119995,419706110
2015-06-30,264.119995,315.880005,243.240005,283.730011,283.730011,513259410
2015-07-31,283.730011,285.660004,196.259995,229.470001,229.470001,540597660
2015-08-31,229.470001,246.380005,224.070007,235.929993,235.929993,386279379
2015-09-30,235.929993,334.920013,234.699997,311.239990,311.239990,623315578
2015-11-01,311.239990,492.799988,292.380005,377.970001,377.970001,1566385413
2015-12-01,377.970001,467.709991,347.160004,429.950012,429.950012,1356690498
2016-01-01,429.950012,462.920013,350.390015,369.839996,369.839996,1011588250
2016-02-01,369.839996,447.609985,365.269989,436.209991,436.209991,806727024
2016-03-01,436.209991,439.019989,386.929993,415.660004,415.660004,690670378
2016-03-31,415.660004,468.859985,412.390015,448.529999,448.529999,609641596
2016-04-30,448.529999,548.039978,435.420013,528.919983,528.919983,788743229
2016-05-31,528.919983,776.039978,521.299988,670.020020,670.020020,2320182044
2016-06-30,670.020020,701.489990,604.950012,621.869995,621.869995,1072367026
2016-07-31,621.869995,627.890015,471.359985,573.880005,573.880005,625775902
2016-08-31,573.880005,704.969971,569.299988,608.140015,608.140015,454567728
2016-09-30,608.140015,720.190002,606.500000,698.669983,698.669983,589739494
2016-11-01,698.669983,755.340027,670.400024,742.489990,742.489990,893890207
2016-12-01,742.489990,982.570007,741.080017,963.380005,963.380005,1074056839
2017-01-01,963.380005,1150.630005,739.549988,965.489990,965.489990,2027801302
2017-02-01,965.489990,1211.739990,924.650024,1189.270020,1189.270020,1393614642
2017-03-01,1189.270020,1330.420044,890.429993,1079.109985,1079.109985,2967942072
2017-03-31,1079.109985,1358.939941,841.530029,1351.910034,1351.910034,1905894046
2017-04-30,1351.910034,2781.760010,1342.780029,2303.340088,2303.340088,6716681686
2017-05-31,2303.340088,2985.060059,2125.560059,2480.610107,2480.610107,8658848136
2017-06-30,2480.610107,2932.810059,1808.989990,2883.270020,2883.270020,9287236267
2017-07-31,2883.270020,4765.069824,2659.620117,4735.109863,4735.109863,12036541012
2017-08-31,4735.109863,4976.520020,2979.879883,4360.620117,4360.620117,15704735466
2017-09-30,4360.620117,6467.200195,4143.350098,6451.240234,6451.240234,16144796561
2017-11-01,6449.100098,11417.839844,5493.640137,9946.759766,9946.759766,30276851678
2017-12-01,9947.080078,19870.619141,9420.929688,13850.400391,13850.400391,76343716569
2018-01-01,13850.490234,17252.849609,9205.379883,10226.860352,10226.860352,51588818253
2018-02-01,10226.860352,11802.230469,5968.359863,10334.440430,10334.440430,43084163298
2018-03-01,10334.440430,11694.150391,6595.259766,6943.770020,6943.770020,35876964576
2018-03-31,6943.770020,9765.230469,6463.540039,9248.450195,9248.450195,23605447004
2018-04-30,9248.250000,9968.849609,7069.009766,7502.149902,7502.149902,19721584442
2018-05-31,7501.740234,7774.959961,5782.129883,6385.379883,6385.379883,13435532720
2018-06-30,6385.430176,8485.709961,5537.859863,7735.299805,7735.299805,14842005268
2018-07-31,7736.250000,7760.740234,5891.870117,7026.959961,7026.959961,14879041116
2018-08-31,7026.959961,7417.649902,6131.020020,6623.709961,6623.709961,10890914808
2018-09-30,6623.819824,7234.830078,6171.950195,6342.609863,6342.609863,8582099925
2018-11-01,6342.810059,6562.790039,3550.040039,4009.669922,4009.669922,13688192027
2018-12-01,4009.669922,4318.790039,3169.530029,3747.389893,3747.389893,10721924553
2019-01-01,3747.389893,4156.160156,3369.189941,3434.129883,3434.129883,5449645290
2019-02-01,3434.129883,4221.620117,3362.239990,3823.370117,3823.370117,4623521658
2019-03-01,3823.370117,4146.879883,3705.139893,4112.689941,4112.689941,3612913832
2019-03-31,4112.689941,5633.000000,4082.199951,5350.640137,5350.640137,8211726093
2019-04-30,5350.640137,6032.250000,5346.700195,5998.709961,5998.709961,1978267166
